"original","mogrified"
"MTARC1","1-Mar"
"MTARC1","3/1"
"MTARC1","03/01"
"MTARC1","3/01"
"MTARC1","03/1"
"MTARC1","03-1"
"MTARC1","03-01"
"MTARC1","3-1"
"MTARC1","3-01"
"MTARC2","2-Mar"
"MTARC2","3/2"
"MTARC2","03/02"
"MTARC2","3/02"
"MTARC2","03/2"
"MTARC2","03-2"
"MTARC2","03-02"
"MTARC2","3-2"
"MTARC2","3-02"
"MARCHF1","1-Mar"
"MARCHF1","3/1"
"MARCHF1","03/01"
"MARCHF1","3/01"
"MARCHF1","03/1"
"MARCHF1","03-1"
"MARCHF1","03-01"
"MARCHF1","3-1"
"MARCHF1","3-01"
"MARCHF10","10-Mar"
"MARCHF10","3/10"
"MARCHF10","03/10"
"MARCHF10","03-10"
"MARCHF10","3-10"
"MARCHF11","11-Mar"
"MARCHF11","3/11"
"MARCHF11","03/11"
"MARCHF11","03-11"
"MARCHF11","3-11"
"MARCHF2","2-Mar"
"MARCHF2","3/2"
"MARCHF2","3/02"
"MARCHF2","03/02"
"MARCHF2","03/2"
"MARCHF2","03-2"
"MARCHF2","03-02"
"MARCHF2","3-2"
"MARCHF2","3-02"
"MARCHF3","3-Mar"
"MARCHF3","3/3"
"MARCHF3","03/03"
"MARCHF3","3/03"
"MARCHF3","03/3"
"MARCHF3","03-3"
"MARCHF3","03-03"
"MARCHF3","3-3"
"MARCHF3","3-03"
"MARCHF4","4-Mar"
"MARCHF4","3/4"
"MARCHF4","03/04"
"MARCHF4","3/04"
"MARCHF4","03/4"
"MARCHF4","03-4"
"MARCHF4","03-04"
"MARCHF4","3-4"
"MARCHF4","3-04"
"MARCHF5","5-Mar"
"MARCHF5","3/5"
"MARCHF5","03/05"
"MARCHF5","3/05"
"MARCHF5","03/5"
"MARCHF5","03-5"
"MARCHF5","03-05"
"MARCHF5","3-5"
"MARCHF5","3-05"
"MARCHF6","6-Mar"
"MARCHF6","3/6"
"MARCHF6","03/06"
"MARCHF6","3/06"
"MARCHF6","03/6"
"MARCHF6","03-6"
"MARCHF6","03-06"
"MARCHF6","3-6"
"MARCHF6","3-06"
"MARCHF7","7-Mar"
"MARCHF7","3/7"
"MARCHF7","03/07"
"MARCHF7","3/07"
"MARCHF7","03/7"
"MARCHF7","03-7"
"MARCHF7","03-07"
"MARCHF7","3-7"
"MARCHF7","3-07"
"MARCHF8","8-Mar"
"MARCHF8","3/8"
"MARCHF8","03/08"
"MARCHF8","3/08"
"MARCHF8","03/8"
"MARCHF8","03-8"
"MARCHF8","03-08"
"MARCHF8","3-8"
"MARCHF8","3-08"
"MARCHF9","9-Mar"
"MARCHF9","3/9"
"MARCHF9","03/09"
"MARCHF9","3/09"
"MARCHF9","03/9"
"MARCHF9","03-9"
"MARCHF9","03-09"
"MARCHF9","3-9"
"MARCHF9","3-09"
"SELENOF","15-Sep"
"SELENOF","9/15"
"SELENOF","09/15"
"SELENOF","09-15"
"SELENOF","9-15"
"SEPTIN1","1-Sep"
"SEPTIN1","9/1"
"SEPTIN1","09/01"
"SEPTIN1","9/01"
"SEPTIN1","09/1"
"SEPTIN1","09-1"
"SEPTIN1","09-01"
"SEPTIN1","9-1"
"SEPTIN1","9-01"
"SEPTIN10","10-Sep"
"SEPTIN10","9/10"
"SEPTIN10","09/10"
"SEPTIN10","09-10"
"SEPTIN10","9-10"
"SEPTIN11","11-Sep"
"SEPTIN11","9/11"
"SEPTIN11","09/11"
"SEPTIN11","09-11"
"SEPTIN11","9-11"
"SEPTIN12","12-Sep"
"SEPTIN12","9/12"
"SEPTIN12","09/12"
"SEPTIN12","09-12"
"SEPTIN12","9-12"
"SEPTIN7P2","13-Sep"
"SEPTIN7P2","9/13"
"SEPTIN7P2","09/13"
"SEPTIN7P2","09-13"
"SEPTIN7P2","9-13"
"SEPTIN14","14-Sep"
"SEPTIN14","9/14"
"SEPTIN14","09/14"
"SEPTIN14","09-14"
"SEPTIN14","9-14"
"SEPTIN2","2-Sep"
"SEPTIN2","9/2"
"SEPTIN2","09/02"
"SEPTIN2","9/02"
"SEPTIN2","09/2"
"SEPTIN2","09-2"
"SEPTIN2","09-02"
"SEPTIN2","9-2"
"SEPTIN2","9-02"
"SEPTIN6","2-Sep"
"SEPTIN6","9/2"
"SEPTIN6","09/02"
"SEPTIN6","9/02"
"SEPTIN6","09/2"
"SEPTIN6","09-2"
"SEPTIN6","09-02"
"SEPTIN6","9-2"
"SEPTIN6","9-02"
"SEPTIN3","3-Sep"
"SEPTIN3","9/3"
"SEPTIN3","09/03"
"SEPTIN3","9/03"
"SEPTIN3","09/3"
"SEPTIN3","09-3"
"SEPTIN3","09-03"
"SEPTIN3","9-3"
"SEPTIN3","9-03"
"SEPTIN4","4-Sep"
"SEPTIN4","9/4"
"SEPTIN4","9/04"
"SEPTIN4","09/04"
"SEPTIN4","09/4"
"SEPTIN4","09-4"
"SEPTIN4","09-04"
"SEPTIN4","9-4"
"SEPTIN4","9-04"
"SEPTIN5","5-Sep"
"SEPTIN5","9/5"
"SEPTIN5","9/05"
"SEPTIN5","09/05"
"SEPTIN5","09/5"
"SEPTIN5","09-5"
"SEPTIN5","09-05"
"SEPTIN5","9-5"
"SEPTIN5","9-05"
"SEPTIN6","6-Sep"
"SEPTIN6","9/6"
"SEPTIN6","09/06"
"SEPTIN6","9/06"
"SEPTIN6","09/6"
"SEPTIN6","09-6"
"SEPTIN6","09-06"
"SEPTIN6","9-6"
"SEPTIN6","9-06"
"SEPTIN7","7-Sep"
"SEPTIN7","9/7"
